Block Group,Census Tract,County,Estimated Population,Median Age,Median Household Income,Female:!!Service occupations:!!Food preparation and serving related occupations,"$100,000 to $124,999",State Code,County Code,Block Group Code
Block Group 1,Census Tract 73,Hillsborough County,489,23.2,81379,,,12,057,007300
Block Group 2,Census Tract 73,Hillsborough County,439,22.0,-666666666,,,12,057,007300
Block Group 3,Census Tract 73,Hillsborough County,1671,21.1,110278,,,12,057,007300
Block Group 1,Census Tract 101.05,Hillsborough County,1655,40.8,78160,,,12,057,010105
Block Group 2,Census Tract 101.05,Hillsborough County,1541,37.0,53750,,,12,057,010105
Block Group 3,Census Tract 101.05,Hillsborough County,2190,35.1,39825,,,12,057,010105
Block Group 1,Census Tract 101.06,Hillsborough County,418,56.7,83029,,,12,057,010106
Block Group 2,Census Tract 101.06,Hillsborough County,2096,44.3,74565,,,12,057,010106
Block Group 3,Census Tract 101.06,Hillsborough County,365,37.3,65156,,,12,057,010106
Block Group 4,Census Tract 101.06,Hillsborough County,1153,50.4,48214,,,12,057,010106
Block Group 1,Census Tract 101.07,Hillsborough County,1565,42.5,35929,,,12,057,010107
Block Group 2,Census Tract 101.07,Hillsborough County,1638,66.3,35727,,,12,057,010107
Block Group 3,Census Tract 101.07,Hillsborough County,740,36.6,58281,,,12,057,010107
Block Group 1,Census Tract 101.08,Hillsborough County,869,49.9,49758,,,12,057,010108
Block Group 2,Census Tract 101.08,Hillsborough County,1259,40.3,86053,,,12,057,010108
Block Group 1,Census Tract 102.03,Hillsborough County,862,46.6,34250,,,12,057,010203
Block Group 2,Census Tract 102.03,Hillsborough County,1186,39.9,53523,,,12,057,010203
Block Group 1,Census Tract 102.04,Hillsborough County,1632,28.9,56250,,,12,057,010204
Block Group 2,Census Tract 102.04,Hillsborough County,2542,30.5,40752,,,12,057,010204
Block Group 3,Census Tract 102.04,Hillsborough County,1357,44.8,57292,,,12,057,010204
Block Group 1,Census Tract 102.10,Hillsborough County,3936,30.0,83750,,,12,057,010210
Block Group 2,Census Tract 102.10,Hillsborough County,1597,43.1,188000,,,12,057,010210
Block Group 1,Census Tract 102.11,Hillsborough County,935,52.1,185592,,,12,057,010211
Block Group 2,Census Tract 102.11,Hillsborough County,899,51.1,120417,,,12,057,010211
Block Group 3,Census Tract 102.11,Hillsborough County,3576,37.4,89722,,,12,057,010211
Block Group 1,Census Tract 102.12,Hillsborough County,2596,38.8,87132,,,12,057,010212
Block Group 2,Census Tract 102.12,Hillsborough County,2411,46.1,146250,,,12,057,010212
Block Group 1,Census Tract 102.13,Hillsborough County,1932,45.7,51369,,,12,057,010213
Block Group 1,Census Tract 102.15,Hillsborough County,4060,35.9,103830,,,12,057,010215
Block Group 2,Census Tract 102.15,Hillsborough County,3884,38.4,128324,,,12,057,010215
Block Group 1,Census Tract 102.16,Hillsborough County,2229,35.9,107470,,,12,057,010216
Block Group 2,Census Tract 102.16,Hillsborough County,4549,38.3,123590,,,12,057,010216
Block Group 1,Census Tract 102.17,Hillsborough County,2157,27.4,63693,,,12,057,010217
Block Group 2,Census Tract 102.17,Hillsborough County,1911,45.9,148511,,,12,057,010217
Block Group 1,Census Tract 102.18,Hillsborough County,1864,38.5,98669,,,12,057,010218
Block Group 2,Census Tract 102.18,Hillsborough County,1102,43.3,80323,,,12,057,010218
Block Group 3,Census Tract 102.18,Hillsborough County,1310,45.8,127008,,,12,057,010218
Block Group 4,Census Tract 102.18,Hillsborough County,1655,35.8,69097,,,12,057,010218
Block Group 1,Census Tract 103.03,Hillsborough County,956,51.9,44769,,,12,057,010303
Block Group 2,Census Tract 103.03,Hillsborough County,1199,35.4,-666666666,,,12,057,010303
Block Group 3,Census Tract 103.03,Hillsborough County,1391,34.4,50577,,,12,057,010303
Block Group 1,Census Tract 103.04,Hillsborough County,1590,51.9,63109,,,12,057,010304
Block Group 2,Census Tract 103.04,Hillsborough County,800,38.1,87614,,,12,057,010304
Block Group 3,Census Tract 103.04,Hillsborough County,1196,54.8,107534,,,12,057,010304
Block Group 1,Census Tract 103.05,Hillsborough County,1215,40.2,47321,,,12,057,010305
Block Group 2,Census Tract 103.05,Hillsborough County,2662,37.4,45234,,,12,057,010305
Block Group 3,Census Tract 103.05,Hillsborough County,494,34.7,66016,,,12,057,010305
Block Group 1,Census Tract 104.01,Hillsborough County,1964,29.3,38179,,,12,057,010401
Block Group 2,Census Tract 104.01,Hillsborough County,3858,29.2,50057,,,12,057,010401
Block Group 3,Census Tract 104.01,Hillsborough County,1059,36.4,48996,,,12,057,010401
Block Group 1,Census Tract 104.02,Hillsborough County,1064,43.3,37765,,,12,057,010402
Block Group 2,Census Tract 104.02,Hillsborough County,659,23.7,24203,,,12,057,010402
Block Group 3,Census Tract 104.02,Hillsborough County,3608,27.5,39943,,,12,057,010402
Block Group 4,Census Tract 104.02,Hillsborough County,1385,40.4,74733,,,12,057,010402
Block Group 1,Census Tract 105.01,Hillsborough County,1395,28.1,56397,,,12,057,010501
Block Group 2,Census Tract 105.01,Hillsborough County,3624,29.8,27415,,,12,057,010501
Block Group 3,Census Tract 105.01,Hillsborough County,1617,38.1,48919,,,12,057,010501
Block Group 1,Census Tract 105.02,Hillsborough County,638,38.2,75781,,,12,057,010502
Block Group 2,Census Tract 105.02,Hillsborough County,2425,33.9,45507,,,12,057,010502
Block Group 1,Census Tract 106,Hillsborough County,1244,29.8,70188,,,12,057,010600
Block Group 2,Census Tract 106,Hillsborough County,1001,52.0,174402,,,12,057,010600
Block Group 3,Census Tract 106,Hillsborough County,857,38.4,96750,,,12,057,010600
Block Group 1,Census Tract 107.01,Hillsborough County,1341,37.6,107258,,,12,057,010701
Block Group 2,Census Tract 107.01,Hillsborough County,1832,39.6,78669,,,12,057,010701
Block Group 3,Census Tract 107.01,Hillsborough County,1037,59.3,-666666666,,,12,057,010701
Block Group 4,Census Tract 107.01,Hillsborough County,1034,23.0,39239,,,12,057,010701
Block Group 1,Census Tract 107.02,Hillsborough County,1204,37.9,45938,,,12,057,010702
Block Group 2,Census Tract 107.02,Hillsborough County,2052,30.4,113125,,,12,057,010702
Block Group 1,Census Tract 108.05,Hillsborough County,772,43.7,26031,,,12,057,010805
Block Group 2,Census Tract 108.05,Hillsborough County,2564,23.1,30326,,,12,057,010805
Block Group 3,Census Tract 108.05,Hillsborough County,2888,28.5,25136,,,12,057,010805
Block Group 1,Census Tract 108.08,Hillsborough County,2421,26.6,33265,,,12,057,010808
Block Group 2,Census Tract 108.08,Hillsborough County,825,24.3,32188,,,12,057,010808
Block Group 1,Census Tract 108.09,Hillsborough County,1717,25.5,34572,,,12,057,010809
Block Group 2,Census Tract 108.09,Hillsborough County,1065,25.8,38964,,,12,057,010809
Block Group 1,Census Tract 108.10,Hillsborough County,1646,32.3,62315,,,12,057,010810
Block Group 2,Census Tract 108.10,Hillsborough County,2079,28.9,52072,,,12,057,010810
Block Group 1,Census Tract 108.11,Hillsborough County,621,35.0,34292,,,12,057,010811
Block Group 2,Census Tract 108.11,Hillsborough County,1044,46.6,62092,,,12,057,010811
Block Group 3,Census Tract 108.11,Hillsborough County,1202,23.1,37333,,,12,057,010811
Block Group 4,Census Tract 108.11,Hillsborough County,1629,30.0,55721,,,12,057,010811
Block Group 5,Census Tract 108.11,Hillsborough County,2136,27.8,37868,,,12,057,010811
Block Group 1,Census Tract 108.14,Hillsborough County,1504,35.4,47303,,,12,057,010814
Block Group 2,Census Tract 108.14,Hillsborough County,1607,21.7,34467,,,12,057,010814
Block Group 1,Census Tract 108.15,Hillsborough County,1462,33.0,24875,,,12,057,010815
Block Group 2,Census Tract 108.15,Hillsborough County,551,36.2,22130,,,12,057,010815
Block Group 1,Census Tract 108.16,Hillsborough County,2033,25.3,27432,,,12,057,010816
Block Group 2,Census Tract 108.16,Hillsborough County,728,49.3,34160,,,12,057,010816
Block Group 3,Census Tract 108.16,Hillsborough County,815,46.0,14702,,,12,057,010816
Block Group 1,Census Tract 108.17,Hillsborough County,1202,30.7,18254,,,12,057,010817
Block Group 2,Census Tract 108.17,Hillsborough County,1373,29.2,29647,,,12,057,010817
Block Group 3,Census Tract 108.17,Hillsborough County,1742,39.1,24904,,,12,057,010817
Block Group 1,Census Tract 108.19,Hillsborough County,837,23.2,21406,,,12,057,010819
Block Group 2,Census Tract 108.19,Hillsborough County,850,32.7,22083,,,12,057,010819
Block Group 1,Census Tract 108.20,Hillsborough County,1505,24.9,39235,,,12,057,010820
Block Group 2,Census Tract 108.20,Hillsborough County,1080,24.3,41250,,,12,057,010820
Block Group 1,Census Tract 108.21,Hillsborough County,1729,29.5,26632,,,12,057,010821
Block Group 2,Census Tract 108.21,Hillsborough County,1338,25.9,16458,,,12,057,010821
Block Group 1,Census Tract 108.22,Hillsborough County,1219,35.8,30732,,,12,057,010822
Block Group 2,Census Tract 108.22,Hillsborough County,957,27.7,31343,,,12,057,010822
Block Group 1,Census Tract 108.23,Hillsborough County,2066,26.5,43159,,,12,057,010823
Block Group 1,Census Tract 108.24,Hillsborough County,462,88.0,29882,,,12,057,010824
Block Group 2,Census Tract 108.24,Hillsborough County,2098,21.0,18701,,,12,057,010824
Block Group 3,Census Tract 108.24,Hillsborough County,2478,21.2,-666666666,,,12,057,010824
Block Group 1,Census Tract 109,Hillsborough County,5069,19.3,-666666666,,,12,057,010900
Block Group 1,Census Tract 110.03,Hillsborough County,1898,39.9,55889,,,12,057,011003
Block Group 2,Census Tract 110.03,Hillsborough County,1731,40.6,80502,,,12,057,011003
Block Group 3,Census Tract 110.03,Hillsborough County,783,27.2,-666666666,,,12,057,011003
Block Group 4,Census Tract 110.03,Hillsborough County,1032,58.4,26176,,,12,057,011003
Block Group 1,Census Tract 110.05,Hillsborough County,2754,44.2,113563,,,12,057,011005
Block Group 1,Census Tract 110.06,Hillsborough County,2661,36.5,114081,,,12,057,011006
Block Group 2,Census Tract 110.06,Hillsborough County,1865,34.9,67373,,,12,057,011006
Block Group 3,Census Tract 110.06,Hillsborough County,2039,42.4,54583,,,12,057,011006
Block Group 1,Census Tract 110.07,Hillsborough County,1674,44.8,96541,,,12,057,011007
Block Group 2,Census Tract 110.07,Hillsborough County,1510,54.2,112500,,,12,057,011007
Block Group 3,Census Tract 110.07,Hillsborough County,360,61.6,101726,,,12,057,011007
Block Group 1,Census Tract 110.08,Hillsborough County,1341,47.7,174602,,,12,057,011008
Block Group 2,Census Tract 110.08,Hillsborough County,1998,31.4,75673,,,12,057,011008
Block Group 3,Census Tract 110.08,Hillsborough County,1896,29.7,65529,,,12,057,011008
Block Group 4,Census Tract 110.08,Hillsborough County,1140,51.4,163203,,,12,057,011008
Block Group 5,Census Tract 110.08,Hillsborough County,248,56.9,170625,,,12,057,011008
Block Group 6,Census Tract 110.08,Hillsborough County,678,27.2,64550,,,12,057,011008
Block Group 1,Census Tract 110.10,Hillsborough County,3762,29.0,44633,,,12,057,011010
Block Group 2,Census Tract 110.10,Hillsborough County,1438,23.0,40808,,,12,057,011010
Block Group 1,Census Tract 110.13,Hillsborough County,2599,31.4,106635,,,12,057,011013
Block Group 2,Census Tract 110.13,Hillsborough County,1513,36.1,60556,,,12,057,011013
Block Group 1,Census Tract 110.16,Hillsborough County,1197,39.9,132727,,,12,057,011016
Block Group 2,Census Tract 110.16,Hillsborough County,1214,35.0,109107,,,12,057,011016
Block Group 3,Census Tract 110.16,Hillsborough County,1663,29.6,81359,,,12,057,011016
Block Group 1,Census Tract 110.17,Hillsborough County,677,26.4,63125,,,12,057,011017
Block Group 2,Census Tract 110.17,Hillsborough County,841,35.9,228333,,,12,057,011017
Block Group 3,Census Tract 110.17,Hillsborough County,292,61.5,166681,,,12,057,011017
Block Group 1,Census Tract 110.18,Hillsborough County,4219,27.7,58365,,,12,057,011018
Block Group 2,Census Tract 110.18,Hillsborough County,1121,34.9,46398,,,12,057,011018
Block Group 1,Census Tract 110.19,Hillsborough County,1461,48.4,161979,,,12,057,011019
Block Group 2,Census Tract 110.19,Hillsborough County,2335,31.9,66458,,,12,057,011019
Block Group 3,Census Tract 110.19,Hillsborough County,6017,39.3,111344,,,12,057,011019
Block Group 1,Census Tract 111.03,Hillsborough County,2255,44.9,124000,,,12,057,011103
Block Group 2,Census Tract 111.03,Hillsborough County,1303,39.5,66181,,,12,057,011103
Block Group 1,Census Tract 111.06,Hillsborough County,2495,30.2,54406,,,12,057,011106
Block Group 1,Census Tract 111.07,Hillsborough County,3785,40.6,74600,,,12,057,011107
Block Group 2,Census Tract 111.07,Hillsborough County,1044,43.8,48443,,,12,057,011107
Block Group 3,Census Tract 111.07,Hillsborough County,1491,50.8,193854,,,12,057,011107
Block Group 1,Census Tract 111.08,Hillsborough County,1638,59.0,77000,,,12,057,011108
Block Group 1,Census Tract 111.09,Hillsborough County,3237,41.3,123534,,,12,057,011109
Block Group 2,Census Tract 111.09,Hillsborough County,1340,63.8,69457,,,12,057,011109
Block Group 1,Census Tract 112.03,Hillsborough County,1448,36.5,86779,,,12,057,011203
Block Group 2,Census Tract 112.03,Hillsborough County,968,49.6,71667,,,12,057,011203
Block Group 3,Census Tract 112.03,Hillsborough County,954,39.6,32595,,,12,057,011203
Block Group 1,Census Tract 112.04,Hillsborough County,1080,34.6,82303,,,12,057,011204
Block Group 2,Census Tract 112.04,Hillsborough County,1236,40.3,59155,,,12,057,011204
Block Group 3,Census Tract 112.04,Hillsborough County,1205,42.9,52549,,,12,057,011204
Block Group 4,Census Tract 112.04,Hillsborough County,963,55.7,104160,,,12,057,011204
Block Group 5,Census Tract 112.04,Hillsborough County,1190,38.0,58160,,,12,057,011204
Block Group 1,Census Tract 112.05,Hillsborough County,1036,36.3,135140,,,12,057,011205
Block Group 2,Census Tract 112.05,Hillsborough County,789,48.5,119130,,,12,057,011205
Block Group 3,Census Tract 112.05,Hillsborough County,1429,42.9,72721,,,12,057,011205
Block Group 1,Census Tract 112.06,Hillsborough County,598,42.5,24018,,,12,057,011206
Block Group 2,Census Tract 112.06,Hillsborough County,1929,25.2,45740,,,12,057,011206
Block Group 3,Census Tract 112.06,Hillsborough County,1043,38.9,27436,,,12,057,011206
Block Group 1,Census Tract 113.01,Hillsborough County,1559,40.1,77786,,,12,057,011301
Block Group 2,Census Tract 113.01,Hillsborough County,2201,53.3,97648,,,12,057,011301
Block Group 1,Census Tract 113.03,Hillsborough County,955,52.8,69896,,,12,057,011303
Block Group 2,Census Tract 113.03,Hillsborough County,2252,36.5,50646,,,12,057,011303
Block Group 1,Census Tract 113.04,Hillsborough County,2775,48.0,111583,,,12,057,011304
Block Group 2,Census Tract 113.04,Hillsborough County,892,57.1,51484,,,12,057,011304
Block Group 3,Census Tract 113.04,Hillsborough County,2196,39.5,130909,,,12,057,011304
Block Group 1,Census Tract 114.07,Hillsborough County,1101,55.1,100625,,,12,057,011407
Block Group 2,Census Tract 114.07,Hillsborough County,926,51.3,76719,,,12,057,011407
Block Group 1,Census Tract 114.08,Hillsborough County,448,35.5,-666666666,,,12,057,011408
Block Group 2,Census Tract 114.08,Hillsborough County,710,57.2,128750,,,12,057,011408
Block Group 3,Census Tract 114.08,Hillsborough County,1552,36.5,61188,,,12,057,011408
Block Group 1,Census Tract 114.09,Hillsborough County,524,38.6,195417,,,12,057,011409
Block Group 2,Census Tract 114.09,Hillsborough County,2217,47.4,87794,,,12,057,011409
Block Group 1,Census Tract 114.10,Hillsborough County,1343,53.3,107857,,,12,057,011410
Block Group 2,Census Tract 114.10,Hillsborough County,1489,56.6,108456,,,12,057,011410
Block Group 3,Census Tract 114.10,Hillsborough County,4133,38.4,103427,,,12,057,011410
Block Group 1,Census Tract 114.11,Hillsborough County,2227,40.3,81943,,,12,057,011411
Block Group 1,Census Tract 114.12,Hillsborough County,1826,38.0,72647,,,12,057,011412
Block Group 2,Census Tract 114.12,Hillsborough County,1410,37.2,42257,,,12,057,011412
Block Group 1,Census Tract 114.13,Hillsborough County,2625,45.0,97083,,,12,057,011413
Block Group 2,Census Tract 114.13,Hillsborough County,868,48.6,-666666666,,,12,057,011413
Block Group 3,Census Tract 114.13,Hillsborough County,1182,55.3,-666666666,,,12,057,011413
Block Group 4,Census Tract 114.13,Hillsborough County,1063,43.4,110833,,,12,057,011413
Block Group 1,Census Tract 114.14,Hillsborough County,4894,32.4,56638,,,12,057,011414
Block Group 2,Census Tract 114.14,Hillsborough County,1427,41.1,52361,,,12,057,011414
Block Group 3,Census Tract 114.14,Hillsborough County,2086,37.8,62037,,,12,057,011414
Block Group 1,Census Tract 114.15,Hillsborough County,2600,35.7,90956,,,12,057,011415
Block Group 2,Census Tract 114.15,Hillsborough County,2108,47.0,90057,,,12,057,011415
Block Group 3,Census Tract 114.15,Hillsborough County,918,47.1,56904,,,12,057,011415
Block Group 1,Census Tract 114.16,Hillsborough County,3060,32.1,61841,,,12,057,011416
Block Group 2,Census Tract 114.16,Hillsborough County,1801,38.3,56961,,,12,057,011416
Block Group 3,Census Tract 114.16,Hillsborough County,1694,45.6,67966,,,12,057,011416
Block Group 4,Census Tract 114.16,Hillsborough County,848,36.8,71576,,,12,057,011416
Block Group 1,Census Tract 114.17,Hillsborough County,1398,43.1,68409,,,12,057,011417
Block Group 2,Census Tract 114.17,Hillsborough County,3306,30.0,51942,,,12,057,011417
Block Group 3,Census Tract 114.17,Hillsborough County,1045,44.3,57593,,,12,057,011417
Block Group 1,Census Tract 114.18,Hillsborough County,667,52.1,127125,,,12,057,011418
Block Group 2,Census Tract 114.18,Hillsborough County,1435,49.8,69306,,,12,057,011418
Block Group 3,Census Tract 114.18,Hillsborough County,1555,59.3,51563,,,12,057,011418
Block Group 1,Census Tract 115.04,Hillsborough County,1034,45.0,109107,,,12,057,011504
Block Group 2,Census Tract 115.04,Hillsborough County,1720,48.5,124844,,,12,057,011504
Block Group 1,Census Tract 115.06,Hillsborough County,2433,38.9,114659,,,12,057,011506
Block Group 2,Census Tract 115.06,Hillsborough County,1006,47.7,102500,,,12,057,011506
Block Group 3,Census Tract 115.06,Hillsborough County,2585,32.2,87179,,,12,057,011506
Block Group 4,Census Tract 115.06,Hillsborough County,3147,34.7,155909,,,12,057,011506
Block Group 1,Census Tract 115.09,Hillsborough County,1171,48.9,106435,,,12,057,011509
Block Group 2,Census Tract 115.09,Hillsborough County,2965,41.2,126523,,,12,057,011509
Block Group 3,Census Tract 115.09,Hillsborough County,1608,46.9,125773,,,12,057,011509
Block Group 4,Census Tract 115.09,Hillsborough County,814,56.7,250001,,,12,057,011509
Block Group 1,Census Tract 115.10,Hillsborough County,3652,33.5,125263,,,12,057,011510
Block Group 2,Census Tract 115.10,Hillsborough County,2235,36.9,163661,,,12,057,011510
Block Group 1,Census Tract 115.12,Hillsborough County,1521,47.7,186607,,,12,057,011512
Block Group 2,Census Tract 115.12,Hillsborough County,1253,45.7,169722,,,12,057,011512
Block Group 3,Census Tract 115.12,Hillsborough County,1436,34.8,83333,,,12,057,011512
Block Group 1,Census Tract 115.14,Hillsborough County,1707,39.0,66375,,,12,057,011514
Block Group 2,Census Tract 115.14,Hillsborough County,2517,51.8,155917,,,12,057,011514
Block Group 3,Census Tract 115.14,Hillsborough County,1295,50.1,81900,,,12,057,011514
Block Group 4,Census Tract 115.14,Hillsborough County,836,45.8,53696,,,12,057,011514
Block Group 1,Census Tract 115.15,Hillsborough County,2321,35.6,104688,,,12,057,011515
Block Group 2,Census Tract 115.15,Hillsborough County,2024,34.2,111875,,,12,057,011515
Block Group 1,Census Tract 115.16,Hillsborough County,1428,46.6,102621,,,12,057,011516
Block Group 2,Census Tract 115.16,Hillsborough County,1628,40.8,67333,,,12,057,011516
Block Group 1,Census Tract 115.18,Hillsborough County,817,57.2,93370,,,12,057,011518
Block Group 2,Census Tract 115.18,Hillsborough County,1116,48.8,132404,,,12,057,011518
Block Group 3,Census Tract 115.18,Hillsborough County,2115,46.0,141563,,,12,057,011518
Block Group 1,Census Tract 115.19,Hillsborough County,728,50.8,120769,,,12,057,011519
Block Group 2,Census Tract 115.19,Hillsborough County,1272,42.7,150250,,,12,057,011519
Block Group 1,Census Tract 115.20,Hillsborough County,2759,45.3,124541,,,12,057,011520
Block Group 2,Census Tract 115.20,Hillsborough County,2442,38.4,96379,,,12,057,011520
Block Group 1,Census Tract 115.21,Hillsborough County,683,47.7,143036,,,12,057,011521
Block Group 2,Census Tract 115.21,Hillsborough County,2291,44.7,42827,,,12,057,011521
Block Group 3,Census Tract 115.21,Hillsborough County,1678,35.6,58877,,,12,057,011521
Block Group 1,Census Tract 115.22,Hillsborough County,2186,46.0,162356,,,12,057,011522
Block Group 2,Census Tract 115.22,Hillsborough County,1845,40.1,107135,,,12,057,011522
Block Group 3,Census Tract 115.22,Hillsborough County,504,47.1,50694,,,12,057,011522
Block Group 1,Census Tract 115.23,Hillsborough County,2111,41.9,132625,,,12,057,011523
Block Group 1,Census Tract 115.24,Hillsborough County,879,32.6,58452,,,12,057,011524
Block Group 2,Census Tract 115.24,Hillsborough County,2223,45.0,70000,,,12,057,011524
Block Group 3,Census Tract 115.24,Hillsborough County,936,33.5,42174,,,12,057,011524
Block Group 4,Census Tract 115.24,Hillsborough County,836,37.2,63042,,,12,057,011524
Block Group 1,Census Tract 115.25,Hillsborough County,657,77.2,38400,,,12,057,011525
Block Group 2,Census Tract 115.25,Hillsborough County,1185,35.3,99167,,,12,057,011525
Block Group 3,Census Tract 115.25,Hillsborough County,2193,45.4,213693,,,12,057,011525
Block Group 1,Census Tract 115.26,Hillsborough County,1321,37.5,85865,,,12,057,011526
Block Group 2,Census Tract 115.26,Hillsborough County,2457,44.2,82321,,,12,057,011526
Block Group 1,Census Tract 115.27,Hillsborough County,1630,49.3,151250,,,12,057,011527
Block Group 2,Census Tract 115.27,Hillsborough County,2295,31.9,161563,,,12,057,011527
Block Group 1,Census Tract 115.28,Hillsborough County,3643,41.9,121641,,,12,057,011528
Block Group 2,Census Tract 115.28,Hillsborough County,99,57.7,-666666666,,,12,057,011528
Block Group 3,Census Tract 115.28,Hillsborough County,2116,42.4,186913,,,12,057,011528
Block Group 1,Census Tract 116.03,Hillsborough County,2737,38.1,93250,,,12,057,011603
Block Group 2,Census Tract 116.03,Hillsborough County,1155,41.7,68681,,,12,057,011603
Block Group 3,Census Tract 116.03,Hillsborough County,622,47.1,57540,,,12,057,011603
Block Group 1,Census Tract 116.05,Hillsborough County,1242,51.2,71964,,,12,057,011605
Block Group 2,Census Tract 116.05,Hillsborough County,1600,38.7,61250,,,12,057,011605
Block Group 3,Census Tract 116.05,Hillsborough County,1956,26.5,28793,,,12,057,011605
Block Group 4,Census Tract 116.05,Hillsborough County,1259,41.2,56111,,,12,057,011605
Block Group 5,Census Tract 116.05,Hillsborough County,1332,28.0,42152,,,12,057,011605
Block Group 1,Census Tract 116.10,Hillsborough County,1307,43.1,-666666666,,,12,057,011610
Block Group 2,Census Tract 116.10,Hillsborough County,1912,36.8,43942,,,12,057,011610
Block Group 3,Census Tract 116.10,Hillsborough County,1542,42.5,55382,,,12,057,011610
Block Group 4,Census Tract 116.10,Hillsborough County,1299,56.8,-666666666,,,12,057,011610
Block Group 1,Census Tract 116.11,Hillsborough County,918,35.2,42356,,,12,057,011611
Block Group 2,Census Tract 116.11,Hillsborough County,2122,37.9,55266,,,12,057,011611
Block Group 3,Census Tract 116.11,Hillsborough County,1519,50.6,60379,,,12,057,011611
Block Group 1,Census Tract 116.12,Hillsborough County,527,63.8,51513,,,12,057,011612
Block Group 2,Census Tract 116.12,Hillsborough County,1347,46.9,72532,,,12,057,011612
Block Group 3,Census Tract 116.12,Hillsborough County,1726,41.2,65612,,,12,057,011612
Block Group 4,Census Tract 116.12,Hillsborough County,2587,34.3,55085,,,12,057,011612
Block Group 1,Census Tract 116.13,Hillsborough County,1433,50.9,55714,,,12,057,011613
Block Group 2,Census Tract 116.13,Hillsborough County,2311,44.9,33429,,,12,057,011613
Block Group 3,Census Tract 116.13,Hillsborough County,645,38.6,67695,,,12,057,011613
Block Group 4,Census Tract 116.13,Hillsborough County,1321,41.9,56250,,,12,057,011613
Block Group 1,Census Tract 116.14,Hillsborough County,1098,35.2,24420,,,12,057,011614
Block Group 2,Census Tract 116.14,Hillsborough County,2887,39.2,44566,,,12,057,011614
Block Group 3,Census Tract 116.14,Hillsborough County,2545,33.2,76136,,,12,057,011614
Block Group 4,Census Tract 116.14,Hillsborough County,1264,35.1,60408,,,12,057,011614
Block Group 1,Census Tract 116.15,Hillsborough County,1304,38.2,95417,,,12,057,011615
Block Group 2,Census Tract 116.15,Hillsborough County,904,29.6,39368,,,12,057,011615
Block Group 3,Census Tract 116.15,Hillsborough County,1013,36.6,51641,,,12,057,011615
Block Group 4,Census Tract 116.15,Hillsborough County,1659,29.8,61042,,,12,057,011615
Block Group 1,Census Tract 116.16,Hillsborough County,1055,49.0,82917,,,12,057,011616
Block Group 2,Census Tract 116.16,Hillsborough County,1504,45.6,112838,,,12,057,011616
Block Group 3,Census Tract 116.16,Hillsborough County,2372,33.3,32519,,,12,057,011616
Block Group 4,Census Tract 116.16,Hillsborough County,1111,38.0,130994,,,12,057,011616
Block Group 5,Census Tract 116.16,Hillsborough County,4624,44.9,63141,,,12,057,011616
Block Group 1,Census Tract 116.17,Hillsborough County,1583,32.9,65734,,,12,057,011617
Block Group 2,Census Tract 116.17,Hillsborough County,1086,32.8,91341,,,12,057,011617
Block Group 3,Census Tract 116.17,Hillsborough County,1275,55.0,47123,,,12,057,011617
Block Group 1,Census Tract 117.08,Hillsborough County,2223,38.3,153769,,,12,057,011708
Block Group 2,Census Tract 117.08,Hillsborough County,1114,26.9,68566,,,12,057,011708
Block Group 3,Census Tract 117.08,Hillsborough County,1794,42.5,89261,,,12,057,011708
Block Group 1,Census Tract 117.12,Hillsborough County,1257,39.3,39184,,,12,057,011712
Block Group 2,Census Tract 117.12,Hillsborough County,1493,28.9,56639,,,12,057,011712
Block Group 3,Census Tract 117.12,Hillsborough County,830,30.0,81354,,,12,057,011712
Block Group 4,Census Tract 117.12,Hillsborough County,1973,44.2,103715,,,12,057,011712
Block Group 1,Census Tract 117.13,Hillsborough County,1230,30.8,73021,,,12,057,011713
Block Group 2,Census Tract 117.13,Hillsborough County,722,28.1,61316,,,12,057,011713
Block Group 3,Census Tract 117.13,Hillsborough County,2055,33.5,43750,,,12,057,011713
Block Group 4,Census Tract 117.13,Hillsborough County,1232,32.3,74844,,,12,057,011713
Block Group 1,Census Tract 117.14,Hillsborough County,2272,43.1,93381,,,12,057,011714
Block Group 1,Census Tract 117.15,Hillsborough County,1828,38.0,52260,,,12,057,011715
Block Group 2,Census Tract 117.15,Hillsborough County,1180,43.7,57686,,,12,057,011715
Block Group 1,Census Tract 117.16,Hillsborough County,906,29.1,42417,,,12,057,011716
Block Group 2,Census Tract 117.16,Hillsborough County,3653,30.7,64084,,,12,057,011716
Block Group 3,Census Tract 117.16,Hillsborough County,1254,46.3,66409,,,12,057,011716
Block Group 1,Census Tract 118.02,Hillsborough County,1112,48.2,72857,,,12,057,011802
Block Group 2,Census Tract 118.02,Hillsborough County,2827,49.8,53434,,,12,057,011802
Block Group 3,Census Tract 118.02,Hillsborough County,756,51.8,41434,,,12,057,011802
Block Group 4,Census Tract 118.02,Hillsborough County,1484,47.8,45219,,,12,057,011802
Block Group 1,Census Tract 118.04,Hillsborough County,1960,41.3,54286,,,12,057,011804
Block Group 2,Census Tract 118.04,Hillsborough County,1602,45.1,51840,,,12,057,011804
Block Group 3,Census Tract 118.04,Hillsborough County,862,37.8,42700,,,12,057,011804
Block Group 4,Census Tract 118.04,Hillsborough County,1373,27.6,43611,,,12,057,011804
Block Group 1,Census Tract 118.05,Hillsborough County,2527,39.6,63525,,,12,057,011805
Block Group 2,Census Tract 118.05,Hillsborough County,837,27.0,68641,,,12,057,011805
